   51,   3,BN01, 4254.64, 7042.24,2004-10-28:08:32,                ,     ,     ,   20,   8,   13,    7,    2,   20.0,
   51,   3,BN01, 4254.64, 7042.24,2004-11-02:08:05,                ,     ,     ,   20,   8,   20,   13,    6,   20.0,
   51,   3,BN01, 4254.64, 7042.24,2004-11-10:10:18,                ,     ,     ,   20,   8,   12,    8,    6,   20.0,
   51,   3,BN01, 4254.64, 7042.24,2004-11-16:07:50,                ,     ,     ,   20,   8,   16,   16,    1,   20.0,
   51,   3,BN01, 4254.64, 7042.24,2004-11-20:08:35,                ,     ,     ,   20,   8,   18,   12,    2,   20.0,
   51,   3,BN01, 4254.64, 7042.24,2004-11-24:08:37,                ,     ,     ,   20,   8,    7,    7,    3,   20.0,
   51,   3,BN01, 4254.64, 7042.24,2004-12-03:09:09,                ,     ,     ,   20,   8,   12,   13,    5,   20.0,
   51,   3,BN01, 4254.64, 7042.24,2004-12-09:10:44,                ,     ,     ,   20,   8,   14,   11,    6,   20.0,
   51,   3,BN01, 4254.64, 7042.24,2004-12-16:11:02,                ,     ,     ,   20,   8,   13,   16,    4,   20.0,
   51,   3,BN01, 4254.64, 7042.24,2004-12-22:11:28,                ,     ,     ,   20,   8,    9,    7,    2,   20.0,
   51,   3,BN01, 4254.64, 7042.24,2005-01-02:10:51,                ,     ,     ,   20,   8,    5,   10,    1,   20.0,
   51,   3,BN01, 4254.64, 7042.24,2005-01-15:10:12,                ,     ,     ,   20,   8,    0,    2,    2,   20.0,
   51,   3,BN01, 4254.64, 7042.24,2005-01-29:10:44,                ,     ,     ,   20,   8,    2,    6,    0,   20.0,
   51,   3,BN01, 4254.64, 7042.24,2005-02-09:09:36,                ,     ,     ,   20,   8,    1,    1,    0,   20.0,
   51,   3,BN01, 4254.64, 7042.24,2005-03-06:08:26,                ,     ,     ,   20,   8,    1,    0,    0,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-04-09:09:45,                ,     ,     ,   20,   8,    1,    9,    0,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-04-29:22:33,                ,     ,     ,   20,   8,    1,   15,    2,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-05-30:08:17,                ,     ,     ,   20,   8,    2,   10,    9,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-06-21:10:05,                ,     ,     ,   20,   8,    1,    0,    5,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-07-31:07:28,                ,     ,     ,   20,   8,    1,    1,    1,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-08-17:09:11,                ,     ,     ,   20,   8,    0,    4,    6,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-08-25:06:57,                ,     ,     ,   20,   8,    3,    0,    2,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-09-01:06:52,                ,     ,     ,   20,   8,    1,    3,    3,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-09-07:06:43,                ,     ,     ,   20,   8,    5,    3,    2,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-09-10:07:35,                ,     ,     ,   20,   8,    5,    3,    0,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-09-13:08:32,                ,     ,     ,   20,   8,    4,    1,    0,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-09-16:10:34,                ,     ,     ,   20,   8,    3,    0,    0,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-09-20:09:32,                ,     ,     ,   20,   8,    7,    5,    0,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-09-23:10:54,                ,     ,     ,   20,   8,    4,    1,    1,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-09-28:07:32,                ,     ,     ,   20,   8,    5,    3,    0,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-10-03:07:45,                ,     ,     ,   20,   8,    2,    2,    2,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-10-07:08:35,                ,     ,     ,   20,   8,    4,    3,    0,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-10-21:10:00,                ,     ,     ,   20,   8,   15,    3,    1,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-10-28:11:20,                ,     ,     ,   20,   8,   19,    8,    6,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-11-02:10:18,                ,     ,     ,   20,   8,    9,   10,    8,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-11-09:10:45,                ,     ,     ,   20,   8,    9,    9,    6,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-11-14:11:12,                ,     ,     ,   20,   8,    8,    6,    3,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-11-19:09:53,                ,     ,     ,   20,   8,   10,   10,    5,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-11-26:11:12,                ,     ,     ,   20,   8,   11,   12,    5,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-12-04:11:36,                ,     ,     ,   20,   8,   11,    4,    5,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-12-12:10:58,                ,     ,     ,   20,   8,   12,    4,    3,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-12-18:11:05,                ,     ,     ,   20,   8,   11,   16,    5,   20.0,
   51,   4,BN01, 4254.64, 7042.24,2005-12-24:09:45,                ,     ,     ,   20,   8,    3,   10,    4,   20.0,
   49,   5,BN01, 4254.60, 7042.20,2006-03-24:09:10,                ,     ,     ,   20,   8,    0,    3,    1,   20.0,
   49,   5,BN01, 4254.60, 7042.20,2006-04-07:08:44,                ,     ,     ,   20,   8,    0,    8,    0,   20.0,
   49,   5,BN01, 4254.60, 7042.20,2006-06-22:09:33,                ,     ,     ,   20,   8,    3,    0,    0,   20.0,
   49,   5,BN01, 4254.60, 7042.20,2006-07-05:06:34,                ,     ,     ,   20,   8,    4,    5,    1,   20.0,
